address,threshold,chain
0x9820818af53e1f53ba698bfe217e027f234f0726,4.022,ETH
0x6e872eeecf1c34fb78ae09f7ea2e66ee2cfdd859,3.822,BSC
0xd707439e1ab07bc79031bdd8924acd2c1a874a2a,4.747,BSC
0x9d146e9fe05a99e5a1a08c2d373a2ec83dd5c3a6,0.628,ETH
0x3b5599a2311ce446425fd40ec40a97367a3739e1,3.496,ETH
0x33e01a6efc388833afffe68a892bc98afeaa9f01,0.633,Polygon
0xa630e581664e2f34647cf06c51338ba4fe5c31dd,3.314,ETH
0x4a39e5f52210bd16db9efbadbde2db4cbf635359,0.52,Polygon
TRcSdgM6fHlI6EkxQ2J05ym0hzQzKmrzEUd6LfNnk5,3.756,Tron
TRy60ZI1djbYTEYlkRE8cLGGabQKqpZ9OkKFxSY3VI,3.87,Tron
